#;Código;Nombre genérico;Nombre comercial;Presentación
132;102077801;FACTOR ESTIMULANTE DE COLONIAS DE GRANULOCITOS (G-CSF): FILGRASTIM 300mcg, solución, S.C., I.V.;ZARZIO 3- MU/-.5 ML SOLUCIÓN PARA INYECCIÓN O INFUSIÓN EN JERINGA PRELLENADA | Leukustim 1--mg Polvo Liofilizado para solución inyectable;Vial/Ampolla
133;102096101;FACTOR IX 50-600UI/ml, polvo y disolvente para solución inyectable o para perfusión, I.V.;OCTANINE F FACTOR IX DE LA COAGULACION HUMANA 1--UI/ML POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE INFUSION I.V.;Vial/Ampolla
134;102099301;FACTOR VII A RECOMBINANTE HUMANO 1mg a 2mg, I.V.;NOVOSEVEN RT 1 MG MIXPRO POLVO LIOFILIZADO Y SOLVENTE PARA SOLUCIÓN INYECTABLE;Vial/Ampolla
135;102074202;FACTOR VIII ANTIHEMOFÍLICO HUMANO DE ORIGEN PLASMÁTICO CON O SIN FACTOR DE VON WILLEBRAND, con doble inactivación viral o inactivación viral y eliminación viral 250-1,000UI, solución o polvo, vial,  I.V.;;Vial/Ampolla
136;102091801;FACTOR VIII RICO EN FACTOR VON WILLEBRAND 250-500UI, polvo liofilizado, vial, I.V.;WILATE 5-- UI/VIAL Y 1--- UI/VIAL POLVO Y SOLVENTE PARA SOLUCIÓN INYECTABLE;Vial/Ampolla
137;101008601;FENITOÍNA SÓDICA 100mg, cápsula o tableta, de liberación modificada, V.O.;DILANTIN 1--MG CAPSULAS DE LIBERACION PROLONGADA;Pastilla - Cápsula
138;102047601;FENITOÍNA SÓDICA 50mg/ml, solución, I.V.;FENATEN 25- mg/5 mL Solución Inyectable I.V. | FENITOINA SODICA 25-MG/5ML SOLUCION INYECTABLE;Vial/Ampolla
139;101012201;FENOBARBITAL 32mg, tableta, V.O.;FENOBIT 32 TABLETAS;Pastilla - Cápsula
140;101012301;FENOBARBITAL 64mg, tableta, V.O.;FENOBIT 64 TABLETAS;Pastilla - Cápsula
141;101098901;FINGOLIMOD 0.5mg, cápsula, V.O.;GILENYA -.5MG CAPSULAS DURAS | FINGOLIMOD -.5 MG CAPSULAS | FINGOLIMOD ACCORD -,5 MG CAPSULAS DURAS EFG | FINLIM (Fingolimod -.5 mg Cápsulas);Pastilla - Cápsula
